registrationNumber,airline,model
11962,China United,B738
11963,Russian Sky Airlines,B744
11964,Jetstar Pacific,A388
11965,Aero-Service,B772
11966,Djibouti Airlines,B789
11967,Halcyonair,C172
11968,Atlantic Southeast Airlines,B738
11969,African Safari Airways,E170
11970,Japan Asia Airways,AT75
11971,Trans Maldivian Airways,B789
11972,Asian Wings Airways,E190
11973,Pan Am World Airways Dominicana,B788
11974,Caribbean Wings,E170
11975,Eritrean Airlines,B739
11976,Asian Wings Airways,A319
11977,LCM AIRLINES,C172
11978,Dense Connection,E190
11979,EUjet,B772
11980,Thai Airways International,B772
11981,Scorpio Aviation,A319
11982,Interlink Airlines,B738
11983,OAG,B737
11984,British International Helicopters,B77L
11985,Baltic Air lines,E190
11986,Aero Services Executive,B763
11987,Perm Airlines,A319
11988,Baker Aviation,B77L
11989,Lloyd Aereo Boliviano,B789
11990,Condor Flugdienst,A388
11991,Big Sky Airlines,A320
11992,Parmiss Airlines (IPV),E170
11993,GB Airways,E190
11994,Sky Express,B788
11995,Joy Air,AT75
11996,Binter Canarias,B772
11997,Aguilar Connect,C172
11998,CommutAir,E170
11999,Ghana International Airlines,A319
12000,Virginwings,B789
12001,African Transport Trading and Investment Company,A333
12002,All America,B737
12003,Rio Grande Air,B738
12004,Gorkha Airlines,A332
12005,Axis Airways,A388
12006,LOT Polish Airlines,E190
12007,V Air,A321
12008,Edelweiss Air,B744
12009,Falcon Air (IH),E170
12010,Air Salone,A388
12011,Lviv Airlines,DH8D
12012,All Asia,B739
12013,All America CL,A319
12014,TAN,E190
12015,Afrinat International Airlines,A332
12016,Jusur airways,AT76
12017,African Transport Trading and Investment Company,A319
12018,Atlant-Soyuz Airlines,DH8D
12019,Air Vegas,B788
12020,Aegean Airlines,B763
12021,Macair Airlines,B752
12022,Trans States Airlines,C172
12023,WestJet,B788
12024,Air Guinee Express,B763
12025,Air Tindi,B763
12026,Trans Pas Air,A319
12027,Air Comores International,A319
12028,Texas Spirit,B788
12029,Air Comet Chile,E170
12030,SkyEurope,DH8D
12031,Hapagfly,B737
12032,Monarch Airlines,A333
12033,Volaris,A388
12034,XL Airways France,C172
12035,Aero Flight,DH8D
12036,Salsa d\\'Haiti,A320
12037,Shandong Airlines,AT76
12038,West Air China,B752
12039,Pacific Coastal Airline,A320
12040,Sirin,A332
12041,Svyaz Rossiya,A319
12042,Ozark Air Lines,DH8D
12043,Air Sahara,E190
12044,Nile Air,A320
12045,Wizz Air Hungary,A319
12046,Transwest Air,C172
12047,Aero Brazil,E170
12048,Air Vistara,C172
12049,Dense Connection,B77L
12050,Air Antilles Express,B737
12051,REXAIR VIRTUEL,B739
12052,Siren-Travel,B737
12053,Jet Airways,AT76
12054,Airshop,B744
12055,NordStar Airlines,A388
12056,Worldspan,AT75
12057,Centurion Air Cargo,A319
12058,African Transport Trading and Investment Company,B744
12059,Asia Overnight Express,B737
12060,VIP Ecuador,E170
12061,Sutra,A321
12062,Air Armenia,B739
12063,Skybus Airlines,B744
12064,THREE,A320
12065,Serbian Airlines,CRJ9
12066,Air India Regional,B763
12067,Compania Mexicargo,B772
12068,Thai Air Cargo,B739
12069,Hellenic Airways,B739
12070,Grant Aviation,AT75
12071,Air Sicilia,A333
12072,Comores Airlines,A321
12073,GoDutch,A320
12074,Wizz Air,B789
12075,U.S. Air,B788
12076,DAS Air Cargo,C172
12077,Thai Airways International,A321
12078,Eurolot,B772
12079,Thai Smile Airways,A332
12080,East African Safari Air,A332
12081,Sosoliso Airlines,E190
12082,KLM Royal Dutch Airlines,B789
12083,Dense Connection,B739
12084,Marysya Airlines,A332
12085,Blue Wings,B772
12086,ZABAIKAL AIRLINES,A388
12087,EuropeSky,A333
12088,Sky Wing Pacific,CRJ9
12089,Air Caledonie International,DH8D
12090,Indya Airline Group,B772
12091,Malaysia Airlines,AT75
12092,Jusur airways,A388
12093,Sriwijaya Air,B737
12094,Neos,A333
12095,Marysya Airlines,B752
12096,Thai Sky Airlines,A320
12097,Rainbow Air Canada,B77W
12098,V Air,B772
12099,Jatayu Airlines,B752
12100,Arcus-Air Logistic,B77L
12101,Domenican Airlines,A333
12102,Flybe,A333
12103,Virgin America,B737
12104,VRG Linhas Aereas,B772
12105,Norte Lineas Aereas,C172
12106,Lebanese Air Transport,B77L
12107,Royal Air Cambodge,B738
12108,Oceanic Airlines,AT75
12109,Pearl Airways,A319
12110,TUIfly,B77L
12111,Air Mediterranee,A388
12112,Kalitta Air,A320
12113,Georgian National Airlines,B77W
12114,Air Senegal International,B772
12115,Albanian Airlines,B77W
12116,Orient Thai Airlines,B789
12117,Teamline Air,A388
12118,Virgin America,A319
12119,Llloyd Helicopters,B752
12120,L.A.B. Flying Service,B77L
12121,Aeroland Airways,C172
12122,Flybaboo,B77L
12123,TransHolding,B752
12124,Samara Airlines,B788
12125,THREE,B77L
12126,Cargolux,B763
12127,Regionalia Uruguay,E170
12128,Lombards Air,B788
12129,Malindo Air,B744
12130,Air Exel,B744
12131,WestAir,E190
12132,Lufttransport,B744
12133,Czech Airlines,A321
12134,Flightline,A319
12135,Syrian Arab Airlines,E170
12136,Aero Contractors,E190
12137,Zenith International Airline,E170
12138,Germanwings,B739
12139,United Airways,B77L
12140,Delta Air Lines,B752
12141,Suckling Airways,B763
12142,Dense Connection,B789
12143,Lebanese Air Transport,B789
12144,Globus,A320
12145,Atlantic Southeast Airlines,A333
12146,Midway Airlines,CRJ9
12147,Hex'Air,B77L
12148,SeaPort Airlines,B77W
12149,INFINI Travel Information,B744
12150,Click (Mexicana),E170
12151,Air Hong Kong,B788
12152,Air Bosna,B737
12153,Air Glaciers,C172
12154,Polynesian Blue,A332
12155,Island Airlines,A333
12156,Interstate Airline,CRJ9
12157,Atyrau Air Ways,B737
12158,Homer Air,CRJ9
12159,Air Urga,DH8D
12160,Lombards Air,CRJ9
12161,DAS Air Cargo,A332
12162,XL Airways France,B752
12163,All Australia,B789
12164,Royal Aruban Airline,B789
12165,Thomas Cook Airlines,AT75
12166,Transavia Holland,E170
12167,Jettor Airlines,B77L
12168,JobAir,DH8D
12169,Air Bourbon,A333
12170,Transavia Holland,B77W
12171,Air Georgian,B752
12172,Aztec Worldwide Airlines,CRJ9
12173,North-Wright Airways,DH8D
12174,Intersky,CRJ9
12175,SunExpress,B789
12176,Alidaunia,C172
12177,Dalavia,AT76
12178,Air Atlantic,AT76
12179,NEPC Airlines,B763
12180,Voyageur Airways,B744
12181,Shenzhen Airlines,B739
12182,Scat Air,C172
12183,AirOne Polska,E190
12184,International Europe,E170
12185,Centurion Air Cargo,B788
12186,Adria Airways,A319
12187,Deutsche Luftverkehrsgesellschaft,B744
12188,Sky Trek International Airlines,B739
12189,Air Transat,B772
12190,Martinair,B77L
12191,Great Wall Airlines,A333
12192,Dense Airways,E190
12193,Helios Airways,B763
12194,SOCHI AIR,B788
12195,TAM Mercosur,B763
12196,Transavia Holland,B772
12197,Helvetic Airways,B752
12198,Azul,DH8D
12199,SATA International,E170
12200,MyTravel Airways,E170
12201,JAL Express,CRJ9
12202,Colgan Air,CRJ9
12203,Japan Asia Airways,AT75
12204,Spanair,E170
12205,Qatar Airways,A320
12206,Pacific Wings,B77L
12207,Dobrolet,A319
12208,JALways,B752
12209,Orient Thai Airlines,B77W
12210,Kogalymavia Air Company,B763
12211,Felix Airways,DH8D
12212,Aloha Airlines,B739
12213,Kunpeng Airlines,E190
12214,Kalitta Air,A319
12215,Air VIA,AT75
12216,Aurigny Air Services,AT75
12217,Sutra,E170
12218,Red Jet Mexico,B752
12219,All Asia,E190
12220,Air Caledonie International,B77W
12221,Royal Aruban Airline,E190
12222,Airstars,A321
12223,Silver Airways (3M),B737
12224,Transaviaexport,A333
12225,Snowbird Airlines,AT75
12226,Mauritania Airlines International,B772
12227,China Northern Airlines,A388
12228,Air Midwest,E190
12229,Amerijet International,DH8D
12230,Tropical Airways,B77W
12231,Hemus Air,AT76
12232,T.J. Air,A319
12233,Royal Air Maroc,A319
12234,Air Japan,B763
12235,Slovak Airlines,B739
12236,Widerøe,B77W
12237,Salsa d\\'Haiti,A388
12238,Malaysia Airlines,B772
12239,Rainbow Air (RAI),A333
12240,Saudi Arabian Airlines,AT76
12241,Interlink Airlines,B772
12242,Transeuropean Airlines,A321
12243,Royal Air Force,B738
12244,Air Pegasus,B763
12245,Air Vanuatu,B788
12246,Hellenic Imperial Airways,B77W
12247,Court Line,AT76
12248,Avies,B738
12249,Euro Exec Express,B789
12250,Virgin America,B763
12251,Rainbow Air Canada,B788
12252,Ostfriesische Lufttransport,AT76
12253,Viaggio Air,B77L
12254,Homer Air,A332
12255,Northern Dene Airways,B739
12256,Thai Lion Air,DH8D
12257,Air Service Gabon,B772
12258,Palair Macedonia (3D),E190
12259,Southjet connect,DH8D
12260,bmi,B77W
12261,Air Hong Kong,E170
12262,Tulip Air,A320
12263,Ibex Airlines,B789
12264,Rainbow Air (RAI),B744
12265,Discovery Airways,B752
12266,All America AR,E190
12267,Air Madrid,A332
12268,Darwin Airline,B737
12269,Chitaavia,B788
12270,Jet Airways,AT76
12271,Jetx Airlines,AT75
12272,TAN-SAHSA,E190
12273,Tom\\'s & co airliners,B788
12274,Aero VIP,B789
12275,Tol-Air Services,B772
12276,China Eastern Airlines,B789
12277,Eastwind Airlines,B752
12278,Access Air,DH8D
12279,Lina Congo,B788
12280,Jet Airways,A332
12281,Australian Airlines,DH8D
12282,Air Transat,B763
12283,Pegasus Airlines,E170
12284,Air Senegal International,B752
12285,Sama Airlines,A388
12286,Ocean Airlines,B738
12287,Polyot Sirena,B788
12288,Omskavia Airline,B77L
12289,Indonesia AirAsia,A320
12290,Solomon Airlines,A321
12291,Transeuropean Airlines,B739
12292,Aero Brazil,B788
12293,China Xinhua Airlines,CRJ9
12294,WestJet Encore,B744
12295,Air Vistara,B763
12296,Haiti Ambassador Airlines,E190
12297,Air Finland,B744
12298,FlyLal,A332
12299,Transavia Holland,A321
12300,Air Hamburg (AHO),B789
12301,Zambia Skyways,B789
12302,dba,B77L
12303,Air S,B737
12304,Malaysia Airlines,B739
12305,Air Tahiti,B788
12306,WestAir Airlines,B739
12307,Atifly,A333
12308,Frontier Airlines,B739
12309,Saratov Aviation Division,AT76
12310,Naka Nihon Airlines Service,AT76
12311,China Southern Airlines,B788
12312,Sharp Airlines,CRJ9
12313,KoralBlue Airlines,E190
12314,Uni Air,A321
12315,buzz,A332
12316,FlyLal,E190
12317,Tuninter,B772
12318,Air Plus Comet,B738
12319,Airnorth,AT76
12320,PEGASUS AIRLINES-,B763
12321,Air Santo Domingo,AT75
12322,Gulf Air Bahrain,B788
12323,Patriot Airways,A332
12324,World Airways,B752
12325,Annsett New Zealand (NZA),B772
12326,Air Cargo Carriers,C172
12327,Transaviaexport,B737
12328,Zest Air,C172
12329,Island Airlines,A321
12330,Blue Sky America,A320
12331,Domodedovo Airlines,A321
12332,China Airlines,E190
12333,Helijet,A333
12334,Aguilar Connect,A332
12335,Alliance Airlines,B788
12336,bmi,B752
12337,Ethiopian Airlines,A388
12338,Rainbow Air Canada,B738
12339,Air Turks and Caicos,E190
12340,Calima Aviacion,E190
12341,Faroejet,B738
12342,Alliance Airlines,B738
12343,Transavia Holland,A320
12344,Sky Express,B772
12345,MDLR Airlines,E170
12346,Apache Air,E170
12347,Tarom,E170
12348,DAS Air Cargo,B772
12349,Wilderness Air,DH8D
12350,Bering Air,A388
12351,Eastland Air,A319
12352,Pacific Wings,A332
12353,THREE,AT75
12354,Austral Lineas Aereas,B772
12355,RACSA,B789
12356,Air Vistara,DH8D
12357,PB Air,B788
12358,Air Transport International,B77L
12359,Polyot Sirena,AT75
12360,Palair Macedonia,A333
12361,Interair South Africa,A388
12362,Atlant-Soyuz Airlines,A319
12363,Etihad Airways,E170
12364,Hahn Air,B77L
12365,Bangkok Airways,A388
12366,Fly Brasil,E170
12367,SeaPort Airlines,CRJ9
12368,Kogalymavia Air Company,CRJ9
12369,Crossair Europe,B772
12370,Aero-Charter Ukraine,A332
12371,Belavia Belarusian Airlines,B763
12372,LAN Argentina,AT76
12373,Ansett Australia,B738
12374,Xtra Airways,A388
12375,WestAir Airlines,A319
12376,Maxjet Airways,B763
12377,Laoag International Airlines,B788
12378,Jet2.com,B738
12379,Air Pegasus,B788
12380,Air Andaman (2Y),DH8D
12381,President Airlines,A332
12382,Africa West,C172
12383,Linea Aerea de Servicio Ejecutivo Regional,E190
12384,Caspian Airlines,E170
12385,Finnair,DH8D
12386,Citilink Indonesia,AT75
12387,Linea Aerea de Servicio Ejecutivo Regional,E170
12388,Air Mauritanie,B744
12389,Skyline nepc,B737
12390,LAI - Linea Aerea IAACA,B772
12391,Royal Falcon,A388
12392,Pamir Airways,AT75
12393,Darwin Airline,B738
12394,Transportes Aéreos Nacionales de Selva,B737
12395,Mesa Airlines,B738
12396,Air Vanuatu,B77W
12397,Genesis,AT75
12398,International Flying Service,B737
12399,UTair Aviation,B739
12400,Astair,A333
12401,Aeroline GmbH,B772
12402,Aguilar Connect,CRJ9
12403,National Airways Cameroon,A320
12404,Haiti Ambassador Airlines,A388
12405,Nazca,AT75
12406,T.A.T,B744
12407,Linea Turistica Aerotuy,B788
12408,Air Mauritanie,E190
12409,AirOne Polska,B744
12410,Krasnojarsky Airlines,A333
12411,FlyLal,A319
12412,VIA Líneas Aéreas,A388
12413,Aerolitoral,A388
12414,Nordic Regional,B744
12415,Air Atlantic,B739
12416,NetJets,AT76
12417,Asian Express Airlines,A333
12418,Baikotovitchestrian Airlines ,A321
12419,Singapore Airlines,B77W
12420,Air Sahara,B789
12421,Austral Brasil,B788
12422,Air Moldova,A332
12423,Helios Airways,B739
12424,Eagle Air,B77W
12425,Cubana de Aviación,B77W
12426,Jet Airways,A388
12427,Jetgo Australia,AT75
12428,Nuevo Continente,B737
12429,Air VIA,B739
12430,Yellowstone Club Private Shuttle,B789
12431,Star Air,AT75
12432,Cargojet Airways,B752
12433,XAIR USA,B752
12434,Islands Nationair,B77L
12435,Jett8 Airlines Cargo,A332
12436,Salzburg arrows,B789
12437,Line Blue,AT75
12438,Firefly,C172
12439,Japan Regio,B738
12440,Turkish Airlines,AT75
12441,British Air Ferries,A332
12442,I-Fly,B744
12443,I-Fly,A333
12444,Cargojet Airways,A321
12445,Air D'Ayiti,A321
12446,FOX Linhas Aereas,B752
12447,Atifly,B763
12448,British Mediterranean Airways,AT76
12449,Royal Air Cambodge,B772
12450,Slovak Airlines,CRJ9
12451,EUjet,B752
12452,Tri-MG Intra Asia Airlines,B744
12453,Tyrolean Airways,E170
12454,Mars RK,B77W
12455,Onur Air,B789
12456,Mahan Air,B752
12457,Avianca - Aerovias Nacionales de Colombia,B737
12458,AirAsia,B737
12459,South East Asian Airlines,DH8D
12460,Bobb Air Freight,AT75
12461,Skynet Airlines,A333
12462,Marysya Airlines,B772
12463,Air Madrid,B77L
12464,Volga-Dnepr Airlines,DH8D
12465,Thai Air Cargo,B772
12466,Brussels Airlines,B763
12467,Airlines Of Tasmania,A333
12468,Itali Airlines,B77W
12469,Air Afrique,E170
12470,Yellow Air Taxi,E190
12471,Serbian Airlines,A319
12472,Air Plus Comet,A321
12473,Aero California,A333
12474,Air Service,A321
12475,Aero California,A320
12476,Lina Congo,CRJ9
12477,Iberworld,C172
12478,Shanxi Airlines,AT76
12479,Orient Thai Airlines,A333
12480,NextJet,B739
12481,Cape Air,B739
12482,Ukraine International Airlines,CRJ9
12483,Lufthansa CityLine,A333
12484,Transmile Air Services,B788
12485,Aero Condor Peru,B772
12486,Formosa Airlines,E170
12487,Asian Wings Airways,A321
12488,Ural Airlines,B77L
12489,Wright Air Service,E190
12490,Svyaz Rossiya,B738
12491,Heli France,B738
12492,Scat Air,AT75
12493,Rio Grande Air,E170
12494,Binter Canarias,B772
12495,Vietnam Airlines,B752
12496,TRIP Linhas A,B744
12497,China Xinhua Airlines,A388
12498,Nasair,A388
12499,Germania,B772
12500,Air Tindi,B739
12501,Atlas Blue,B738
12502,Xtra Airways,E170
12503,Canadian World,E190
12504,Athens Airways,A319
12505,Alliance Air,AT75
12506,LSM International ,DH8D
12507,Kuwait Airways,B788
12508,Juneyao Airlines,B789
12509,Grant Aviation,B738
12510,Cape Air,AT76
12511,Pacific Blue,C172
12512,Air Mekong,E190
12513,SkyEurope,B744
12514,Arctic Circle Air Service,E190
12515,Worldspan,AT75
12516,AirAsia X,A388
12517,Air Ops,B789
12518,Windward Islands Airways,A319
12519,Jett8 Airlines Cargo,A319
12520,Kish Air,B788
12521,Proflight Commuter Services,B744
12522,Nazca,B752
12523,Sky Trek International Airlines,A333
12524,Aeroper,A333
12525,TNT Airways,AT75
12526,Mahan Air,CRJ9
12527,Tassili Airlines,B77W
12528,Salmon Air,CRJ9
12529,EUjet,E170
12530,TACV,A388
12531,South West Africa Territory Force,B772
12532,Aeroflot-Don,CRJ9
12533,Oman Air,B789
12534,Skyways Express,E190
12535,West Air China,A388
12536,United Feeder Service,B744
12537,Itali Airlines,DH8D
12538,Zuliana de Aviacion,A321
12539,Air Ops,B744
12540,Tiara Air,B737
12541,XL Airways France,E190
12542,Air Class Lineas Aereas,B77W
12543,SilkAir,A332
12544,Pakistan International Airlines,B788
12545,NEPC Airlines,A319
12546,NextJet,A333
12547,Air Arabia Egypt,B77W
12548,Silver Airways (3M),A333
12549,Air Georgian,A321
12550,North Coast Aviation,C172
12551,Palair Macedonia (3D),A333
12552,Myanma Airways,E190
12553,SGA Airlines,DH8D
12554,Viaggio Air,A321
12555,Empresa Ecuatoriana De Aviacion,A320
12556,Linea Turistica Aerotuy,B737
12557,Proflight Commuter Services,C172
12558,Pamir Airways,B739
12559,Virgin Atlantic Airways,A319
12560,Northwestern Air,B772
12561,Edelweiss Air,B77W
12562,Air Nippon Network Co. Ltd.,B739
12563,T.J. Air,B739
12564,Wings of England,E190
12565,International Business Air,DH8D
12566,Athens Airways,CRJ9
12567,IBC Airways,B744
12568,Welcome Air,B737
12569,Airnorth,B788
12570,North Pacific Airlines,B744
12571,Air India Limited,B788
12572,Air Salone,E170
12573,Island Express,A333
12574,All Africa,AT75
12575,Kampuchea Airlines,B788
12576,SAETA,DH8D
12577,Albanian Airlines,C172
12578,Baker Aviation,DH8D
12579,Parmiss Airlines (IPV),B739
12580,Airstars,B772
12581,Air Arabia,B77W
12582,JetsGo,B788
12583,Sky Regional,A321
12584,S7 Airlines,A333
12585,Orenburg Airlines,A321
12586,Rossiya,E190
12587,Volotea Costa Rica,AT75
12588,Transeuropean Airlines,E170
12589,Air Japan,B77L
12590,British Airways,B763
12591,Horizon Airlines,A320
12592,Worldspan,AT76
12593,Air Armenia,E170
12594,Singapore Airlines Cargo,B77L
12595,Tropical Airways,C172
12596,NEXT Brasil,B738
12597,Tower Air,E170
12598,Virgin Pacific,B772
12599,Air Kiribati,B77L
12600,Jetclub,CRJ9
12601,Canadian Western Airlines,A332
12602,AirOne Polska,B739
12603,GB Airways,B763
12604,Western Airlines,B744
12605,Regional Air Iceland,AT76
12606,Thai Lion Air,AT76
12607,Thai Smile Airways,B737
12608,Hainan Phoenix Information Systems,B77W
12609,Tiara Air,DH8D
12610,Potomac Air,AT76
12611,Redhill Aviation,CRJ9
12612,Itek Air,A332
12613,Zambezi Airlines (ZMA),AT75
12614,Miami Air International,B789
12615,Homer Air,A388
12616,Air Fiji,E190
12617,Cebu Pacific,B737
12618,Bearskin Lake Air Service,AT76
12619,Rossiya,AT75
12620,Dennis Sky,B752
12621,Uzbekistan Airways,C172
12622,Air Tahiti,AT76
12623,Aeroflot-Don,AT76
12624,Norwegian Air Shuttle,A320
12625,USA3000 Airlines,CRJ9
12626,Kyrgyzstan,AT76
12627,Hankook Airline,A319
12628,Eurocypria Airlines,B738
12629,Volaris,A333
12630,Travelsky Technology,A332
12631,Polynesian Blue,AT76
12632,Astral Aviation,AT76
12633,Fly Air,A333
12634,JetsGo,B763
12635,INAVIA Internacional,AT75
12636,TAME,A319
12637,Panafrican Airways,B789
12638,Rainbow Air Euro,B763
12639,Thai Airways International,B737
12640,Hainan Phoenix Information Systems,CRJ9
12641,Air Sahara,E170
12642,Empire Airlines,B763
12643,Empire Airlines,B744
12644,Corse-Mediterranee,A388
12645,Air Alpha Greenland,B744
12646,Sky Wing Pacific,C172
12647,Lagun Air,A388
12648,Allegro,B789
12649,Nordica,B789
12650,Florida West International Airways,A332
12651,Four Star Aviation / Four Star Cargo,A319
12652,Armenian International Airways,B789
12653,Kalitta Air,B737
12654,Fly Illi,B739
12655,ABSA - Aerolinhas Brasileiras,A319
12656,National Air Cargo,AT76
12657,Zest Air,B737
12658,SkyWest,A320
12659,Domodedovo Airlines,CRJ9
12660,Flybaboo,E170
12661,Sky Airline,C172
12662,Astar Air Cargo,B738
12663,Servant Air,AT75
12664,Fika Salaama Airlines,B752
12665,Shaheen Air International,AT75
12666,Virgin Pacific,B763
12667,KoralBlue Airlines,B789
12668,Air Bosna,B788
12669,Nantucket Airlines,B763
12670,Brit Air,B77W
12671,Viasa,A388
12672,Lufthansa Cargo,A333
12673,Aerolitoral,E170
12674,Frontier Airlines,A332
12675,Aero Condor Peru,A333
12676,AirRussia,B738
12677,Golden Air,B737
12678,PLUNA,A333
12679,SATA International,A321
12680,Med Airways,B77L
12681,Usa Sky Cargo,B788
12682,MexicanaLink,E190
12683,Air Santo Domingo,AT75
12684,Aero VIP (2D),A388
12685,Abu Dhabi Amiri Flight,B744
12686,Fly Europa,B739
12687,Corse-Mediterranee,B789
12688,Polyot Sirena,B752
12689,Saratov Aviation Division,AT76
12690,Djibouti Airlines,A320
12691,ABSA - Aerolinhas Brasileiras,E190
12692,Cape Air,B737
12693,Air Lituanica,A333
12694,ABSA - Aerolinhas Brasileiras,B77W
12695,Royal Air Force of Oman,A332
12696,Interair South Africa,B772
12697,MAT Macedonian Airlines,A321
12698,Air Armenia,B789
12699,Deutsche Bahn,B752
12700,Nazca,CRJ9
12701,Dana Air,A333
12702,Air Cal,A333
12703,Canadian North,B744
12704,Air Mozambique,AT76
12705,Vladivostok Air,B744
12706,Sat Airlines,A321
12707,Titan Airways,A319
12708,Air Srpska,AT76
12709,Sirena,B752
12710,Bluebird Cargo,B77L
12711,East African Safari Air,A319
12712,Nauru Air Corporation,CRJ9
12713,Court Line,C172
12714,Sama Airlines,A321
12715,Vuela Cuba,B763
12716,Sirena,B752
12717,Baikotovitchestrian Airlines ,A388
12718,S7 Airlines,B763
12719,Aigle Azur,C172
12720,Germania,B738
12721,Bravo Air Congo,DH8D
12722,Atlas Blue,A388
12723,Finnair,B737
12724,Click (Mexicana),AT75
12725,Sudan Airways,A332
12726,Shanghai Airlines,E190
12727,British Air Ferries,CRJ9
12728,China Postal Airlines,B77W
12729,Aero Airlines,B763
12730,Vision Airlines (V2),B752
12731,Pacificair,B739
12732,BVI Airways,A333
12733,Faroejet,A332
12734,Air Foyle,E190
12735,Cameroon Airlines,B77W
12736,Aerosur,B789
12737,Adria Airways,B788
12738,Centavia,A319
12739,Voestar,B763
12740,Express One International,DH8D
12741,Indonesia AirAsia,B738
12742,Viaggio Air,A320
12743,Japan Air System,B763
12744,Yangtze River Express,B772
12745,Skyjet Airlines,CRJ9
12746,Neos,B77L
12747,World Experience Airline,E190
12748,Aurigny Air Services,A320
12749,Scat Air,E190
12750,Global Freightways,B739
12751,Air Vanuatu,B737
12752,Estonian Air,B737
12753,Air Florida,B738
12754,Air Hamburg (AHO),B737
12755,Blue Air,A332
12756,Thai Star Airlines,AT75
12757,Asiana Airlines,B739
12758,Metro Batavia,B763
12759,Viking Hellas,B77W
12760,Global Freightways,E190
12761,Avianova (Russia),AT76
12762,Cosmic Air,A320
12763,All America BR,B763
12764,Vision Airlines (V2),B77L
12765,Kam Air,B738
12766,Yellowtail,B77W
12767,Domodedovo Airlines,A388
12768,Safair,B737
12769,TUIfly (X3),B77L
12770,Global Freightways,B744
12771,Skymark Airlines,DH8D
12772,Alaska Seaplane Service,AT75
12773,Lauda Air,A388
12774,Euro Jet,B737
12775,Aero Airlines,B772
12776,Zimex Aviation,B752
12777,Atlas Blue,C172
12778,CanJet,A388
12779,Air Arabia,B772
12780,Air France,B737
12781,Rossiya,B752
12782,Montenegro Airlines,DH8D
12783,OneJet,B744
12784,SITA,B77L
12785,Air UK,B788
12786,Conviasa,AT76
12787,Club Air,C172
12788,Line Blue,C172
12789,Russian Sky Airlines,B763
12790,Electronic Data Systems,B77W
12791,Indonesia Sky,B738
12792,Aserca Airlines,B744
12793,Jettor Airlines,B738
12794,Sabre Pacific,A388
12795,All Europe,B789
12796,OAG,C172
12797,Annsett New Zealand (NZA),C172
12798,LACSA,DH8D
12799,Air Greenland,DH8D
12800,Volotea Costa Rica,B738
12801,Pacific Coastal Airline,B752
12802,ROYAL BRITAIN,A333
12803,Air Ops,B739
12804,Mesa Airlines,AT76
12805,Buquebus Líneas Aéreas,B77W
12806,Catovair,B763
12807,LAN Peru,E170
12808,Fika Salaama Airlines,AT76
12809,Polyot Sirena,B763
12810,Aeromexpress,A320
12811,TAMPA,E170
12812,Zambezi Airlines (ZMA),AT75
12813,Adria Airways,B77L
12814,Papillon Grand Canyon Helicopters,A320
12815,Armavia,A321
12816,Red Jet Mexico,A321
12817,Star Air,A333
12818,Germania,B77W
12819,Rainbow Air Polynesia,B738
12820,Freedom Air,B739
12821,China Southern Airlines,B77W
12822,Swiss International Air Lines,E170
12823,Air Burundi,AT75
12824,AeroRep,A319
12825,Tandem Aero,B752
12826,Air Wales,A333
12827,SOCHI AIR CHATER,E170
12828,Viaggio Air,B739
12829,China Postal Airlines,DH8D
12830,Aero Brazil,A320
12831,Viasa,DH8D
12832,Krasnojarsky Airlines,DH8D
12833,Jin Air,A388
12834,MexicanaLink,AT75
12835,CCML Airlines,C172
12836,Air Malta,E190
12837,Thai Star Airlines,B739
12838,Kuzu Airlines Cargo,B763
12839,Arkia Israel Airlines,B752
12840,Bulgaria Air,B763
12841,Flightlink Tanzania,A321
12842,WestAir,A319
12843,Overland Airways,B752
12844,Albanian Airlines,DH8D
12845,Indonesia Sky,B789
12846,Enkor JSC,A333
12847,Omni Air International,B739
12848,S7 Airlines,B738
12849,Air Pegasus,B789
12850,Maersk,B738
12851,Far Eastern Air Transport,B772
12852,Blue1,AT76
12853,LSM International ,B77L
12854,US Airways,B77W
12855,Swiss International Air Lines,B77W
12856,Salzburg arrows,E170
12857,Antrak Air,C172
12858,Welcome Air,CRJ9
12859,Air Slovakia,A388
12860,Eurolot,A320
12861,Fly Air,B738
12862,Silver Airways (3M),A320
12863,All Europe,A333
12864,Aztec Worldwide Airlines,E190
12865,Pacific Wings,C172
12866,Capital Cargo International Airlines,A320
12867,Dirgantara Air Service,B788
12868,Asiana Airlines,E190
12869,Shenzhen Airlines,A388
12870,Nik Airways,B763
12871,Hawaiian Airlines,AT76
12872,Singapore Airlines,AT75
12873,Jin Air,B77W
12874,Voestar,A333
12875,British Mediterranean Airways,B77W
12876,Papillon Grand Canyon Helicopters,B789
12877,Maldivo Airlines,DH8D
12878,Cathay Pacific,B738
12879,Dennis Sky,B738
12880,Pacificair,B738
12881,Guinee Airlines,DH8D
12882,Arcus-Air Logistic,B737
12883,Menajet,B739
12884,AOM French Airlines,DH8D
12885,Air Bosna,AT76
12886,T.J. Air,A320
12887,Qatar Airways,C172
12888,Hong Kong Express Airways,B737
12889,Flyglobespan,B788
12890,Hahn Air,B744
12891,Airbus Industrie,AT75
12892,Northwest Regional Airlines,B744
12893,All Argentina,B788
12894,Alaniya Airlines,B744
12895,Twin Jet,B789
12896,Juneyao Airlines,A333
12897,Mastertop Linhas Aereas,E170
12898,Omskavia Airline,B789
12899,Berjaya Air,B744
12900,Go One Airways,B738
12901,Southjet cargo,B77W
12902,Florida Coastal Airlines,B772
