fid,arrivalTime,departureTime,destination,departure,registrationNumber
W21664,2023-08-25 11:05:30,2023-08-25 08:05:30,Alfredo Vásquez Cobo International Airport,Tibú Airport,18609
J31665,2021-09-10 11:15:27,2021-09-09 11:15:27,Leinster Airport,Austin Robert Mueller Municipal,15387
EX1666,2022-07-11 13:05:37,2022-07-10 18:05:37,Biggs Army Air Field (Fort Bliss),Komaio Airport,26854
Q51667,2021-08-06 02:55:57,2021-08-05 09:55:57,Dalnerechensk Airport,Khatgal Airport,7295
A41668,2022-01-23 07:30:59,2022-01-22 14:30:59,Barnaul Airport,Lima Allen County Airport,9196
ML1669,2020-06-25 22:34:42,2020-06-25 05:34:42,Orbost Airport,Kampong Chhnang Airport,24477
6I1670,2021-07-31 22:37:12,2021-07-31 16:37:12,Virac Airport,"Pattimura Airport, Ambon",25068
0B1671,2021-07-07 20:07:27,2021-07-07 10:07:27,Eugenio Maria De Hostos Airport,Valdosta Regional Airport,23064
5W1672,2022-09-27 02:05:55,2022-09-26 02:05:55,Bukhovtsi Airfield,Amanab Airport,15912
6P1673,2022-08-23 14:25:24,2022-08-22 14:25:24,Aishalton Airport,Livingstone Airport,15725
G01674,2020-12-24 22:24:23,2020-12-24 01:24:23,Osijek Airport,Les Sables-d'Olonne Talmont Airport,288
HT1675,2021-01-22 22:47:11,2021-01-22 09:47:11,Gora Airstrip,Rickenbacker International Airport,11691
ON1676,2020-04-14 06:00:06,2020-04-13 23:00:06,Port Allen Airport,Shanghai Hongqiao International Airport,10276
GX1677,2022-06-29 11:36:11,2022-06-28 20:36:11,Lansdowne Airport,Etadunna Airport,5744
2D1678,2021-08-09 07:18:26,2021-08-08 08:18:26,Hermiston Municipal Airport,Hutchinson County Airport,1040
EL1679,2020-11-26 09:49:12,2020-11-25 14:49:12,Exeter International Airport,Buta Zega Airport,27007
JE1680,2021-07-09 21:58:13,2021-07-09 13:58:13,General Villamil Airport,Billiluna Airport,1725
9A1681,2022-12-20 21:59:55,2022-12-20 18:59:55,Drumduff Airport,M. Graham Clark Downtown Airport,19459
ZH1682,2021-09-17 20:38:03,2021-09-17 17:38:03,El Alto International Airport,Belfast International Airport,20956
S61683,2021-05-25 14:57:31,2021-05-25 04:57:31,Wollongong Airport,Marathon Airport,15821
Q41684,2023-05-31 20:14:35,2023-05-31 11:14:35,London Airport,Miranda Downs Airport,14906
AW1685,2023-04-22 16:58:13,2023-04-22 10:58:13,Nepalgunj Airport,Fuerte Olimpo Airport,13446
41686,2022-01-02 07:01:26,2022-01-01 09:01:26,Yongphulla Airport,Tapeta Airport,4993
E61687,2020-04-04 11:29:53,2020-04-04 11:29:53,Brown Field Municipal Airport,Totness Airport,10036
LO1688,2022-11-23 22:54:49,2022-11-23 08:54:49,Odate Noshiro Airport,Spichenkovo Airport,7233
S11689,2023-05-26 18:05:09,2023-05-26 07:05:09,Taguatinga Airport,Mwadui Airport,22104
SX1690,2023-03-10 15:50:33,2023-03-09 17:50:33,Winter Haven Regional Airport - Gilbert Field,Matthews Ridge Airport,22276
S61691,2020-06-11 10:59:52,2020-06-10 13:59:52,Al Ahsa Airport,Corazón de Jesús Airport,3565
H91692,2023-01-15 10:55:27,2023-01-14 10:55:27,Kiman Airport,Coffs Harbour Airport,18516
2R1693,2022-07-15 03:03:28,2022-07-14 16:03:28,Rzeszów-Jasionka Airport,Coll Airport,9143
1I1694,2020-08-20 12:10:24,2020-08-19 17:10:24,Tununak Airport,Brunswick Golden Isles Airport,23174
ES1695,2020-01-26 03:09:53,2020-01-25 17:09:53,Tiko Airport,Gorgan Airport,17401
9U1696,2022-07-13 00:26:25,2022-07-12 21:26:25,Niagara District Airport,Deniliquin Airport,7415
SA1697,2021-01-06 07:13:01,2021-01-06 00:13:01,Coronel Altino Machado de Oliveira Airport,Fair Isle Airport,9883
F91698,2022-12-25 07:39:37,2022-12-24 13:39:37,Torres Airstrip,Xi'an Xianyang International Airport,24158
6I1699,2022-06-22 13:16:24,2022-06-22 12:16:24,Rajkot Airport,Flugplatz Kitzingen,10066
1T1700,2023-12-04 17:07:30,2023-12-04 13:07:30,Beira Airport,Barnstable Municipal Boardman Polando Field,11530
МИ1701,2021-02-23 23:35:48,2021-02-23 12:35:48,Huesca/Pirineos Airport,Eil Airport,11465
6E1702,2023-06-24 08:25:25,2023-06-23 10:25:25,Mianwali Air Base,Cacique Aramare Airport,7036
KY1703,2021-06-26 22:49:00,2021-06-26 03:49:00,Morafenobe Airport,Sabu-Tardanu Airport,1557
3K1704,2020-12-21 01:40:55,2020-12-20 18:40:55,Iamalele Airport,Tlokoeng Airport,14823
E71705,2022-08-29 02:53:10,2022-08-28 05:53:10,Wedau Airport,Hawkins Field,23581
C11706,2021-04-26 19:26:50,2021-04-26 03:26:50,Musgrave Airport,Kerikeri Airport,11417
5N1707,2022-04-12 02:09:54,2022-04-11 19:09:54,Gibraltar Airport,San Tomé Airport,14847
H91708,2020-12-02 07:46:52,2020-12-02 02:46:52,Tikchik Lodge Seaplane Base,Eskişehir Air Base,26013
M51709,2020-12-08 08:00:46,2020-12-07 15:00:46,Khuzdar Airport,Dothan Regional Airport,23543
N41710,2020-12-18 12:49:58,2020-12-17 16:49:58,Aklavik/Freddie Carmichael Airport,Warrnambool Airport,27684
NS1711,2022-10-01 14:31:27,2022-10-01 12:31:27,Iwo Jima Airport,Chi Mei Airport,20212
NN1712,2021-09-09 09:36:07,2021-09-08 23:36:07,Tauranga Airport,Gorna Oryahovitsa Airport,22736
2D1713,2020-12-17 06:33:42,2020-12-16 11:33:42,Maramuni Airport,Teller Airport,23967
K11714,2021-01-01 21:33:58,2021-01-01 05:33:58,Pinal Airpark,Yellowstone Regional Airport,5193
WD1715,2021-09-23 18:01:44,2021-09-23 07:01:44,Mui River Airport,Pensacola Regional Airport,10369
CC1716,2022-02-25 06:09:12,2022-02-24 14:09:12,Wonken Airport,Shiyan Wudangshan Airport,2548
WH1717,2021-12-08 21:29:33,2021-12-08 15:29:33,Vandenberg Air Force Base,Camp Bastion Airport,11318
8H1718,2021-01-06 00:50:29,2021-01-05 05:50:29,Roanoke–Blacksburg Regional Airport,Ciudad del Carmen International Airport,13905
NW1719,2022-06-16 16:01:30,2022-06-16 06:01:30,Bahia - Jorge Amado Airport,Portland Hillsboro Airport,14333
8Q1720,2022-10-27 23:47:30,2022-10-27 03:47:30,Craig Field,Tau Airport,17740
GP1721,2022-03-23 21:09:12,2022-03-23 21:09:12,Wings Field,Whitecourt Airport,7243
B61722,2020-02-28 19:17:19,2020-02-28 03:17:19,Dikson Airport,Silver Creek Airport,25664
YO1723,2020-08-06 21:36:44,2020-08-06 18:36:44,Mampikony Airport,Amahai Airport,6684
XO1724,2023-11-17 18:30:03,2023-11-17 07:30:03,Presidente José Sarney Airport,Buta Zega Airport,6617
J61725,2023-02-09 02:05:09,2023-02-08 06:05:09,Gainesville Regional Airport,Ofu Village Airport,18729
H41726,2023-01-03 16:35:09,2023-01-02 16:35:09,Rimouski Airport,Supadio Airport,6830
KK1727,2020-09-27 16:00:29,2020-09-27 15:00:29,Sacramento International Airport,Louisville Winston County Airport,21151
N51728,2023-01-16 23:28:29,2023-01-16 20:28:29,Wuzhou Changzhoudao Airport,Raja Bhoj International Airport,21203
CX1729,2020-06-17 08:44:30,2020-06-16 21:44:30,Detroit Metropolitan Wayne County Airport,Kuressaare Airport,14917
U41730,2022-09-12 18:53:39,2022-09-12 15:53:39,Buon Ma Thuot Airport,Kornasoren Airfield,226
KT1731,2022-04-10 02:07:46,2022-04-09 11:07:46,Blackbushe Airport,Ardmore Downtown Executive Airport,6516
OQ1732,2023-04-22 14:53:29,2023-04-22 12:53:29,Monte Alegre Airport,Waco Regional Airport,11051
PF1733,2023-01-01 19:44:31,2023-01-01 08:44:31,Semonkong Airport,Kubin Airport,24404
K81734,2021-05-02 15:38:05,2021-05-02 10:38:05,Danville Regional Airport,Don Miguel Hidalgo Y Costilla International Airport,24003
8K1735,2023-05-10 14:50:32,2023-05-10 07:50:32,Muskoka Airport,Pescara International Airport,4579
ID1736,2022-12-28 08:18:30,2022-12-27 11:18:30,Mukhaizna Airport,Oxford (Kidlington) Airport,12897
BA1737,2020-10-08 08:07:33,2020-10-08 06:07:33,Mococa Airport,Fortescue - Dave Forrest Aerodrome,2800
G31738,2022-10-21 18:48:54,2022-10-20 18:48:54,Skagit Regional Airport,Héroes De Malvinas Airport,3491
CU1739,2022-12-26 02:04:52,2022-12-25 16:04:52,Itokama Airport,Mifflin County Airport,22902
AO1740,2020-08-27 06:13:24,2020-08-26 21:13:24,Cambridge Bay Airport,Lekoni Airport,1229
HR1741,2023-09-17 17:25:49,2023-09-17 06:25:49,Aitape Airport,London Biggin Hill Airport,16336
LW1742,2020-07-11 08:31:45,2020-07-10 10:31:45,Kyzyl Airport,Andizhan Airport,21743
OL1743,2020-03-11 19:21:06,2020-03-11 00:21:06,Pinto Martins International Airport,Megève Airport,20014
8S1744,2022-05-13 02:47:27,2022-05-12 03:47:27,Kogalym International Airport,Méribel Altiport,22039
HQ1745,2020-07-24 16:15:36,2020-07-24 14:15:36,Shilavo Airport,Faaite Airport,18167
I71746,2022-01-15 22:47:08,2022-01-15 02:47:08,Mandinga Airport,Kenai Municipal Airport,18044
QX1747,2020-04-30 08:15:00,2020-04-29 19:15:00,Huallaga Airport,Forest City Municipal Airport,15740
UO1748,2021-05-12 19:50:34,2021-05-12 19:50:34,Burns Lake Airport,Malamala Airport,2094
GG1749,2023-08-15 23:49:38,2023-08-15 15:49:38,Guasdalito Airport,Lappeenranta Airport,27248
UK1750,2021-02-05 14:17:05,2021-02-05 14:17:05,Pinar Del Rio Airport,Opapimiskan Lake Airport,9455
AR1751,2023-04-25 14:27:43,2023-04-25 09:27:43,Pemba Airport,Lompoc Airport,7487
RK1752,2021-09-26 15:35:06,2021-09-25 23:35:06,Strother Field,Futuna Airport,18036
M21753,2023-01-27 07:13:12,2023-01-26 16:13:12,Halifax County Airport,Will Rogers World Airport,25104
RB1754,2020-05-09 10:50:42,2020-05-08 11:50:42,Toledo Airport,Qacha's Nek Airport,1861
XM1755,2023-06-15 04:31:38,2023-06-15 01:31:38,"Dewitt Field,Old Town Municipal Airport",Mulan Airport,15308
2W1756,2023-11-04 06:04:30,2023-11-03 22:04:30,Argyle Airport,Kuqa Airport,3595
OG1757,2021-12-17 01:11:30,2021-12-16 13:11:30,Siwa Oasis North Airport,Mackinac Island Airport,395
3O1758,2023-05-07 10:58:37,2023-05-07 09:58:37,Osvaldo Vieira International Airport,Ikerassaarsuk Heliport,19644
A91759,2020-12-14 10:47:33,2020-12-13 15:47:33,Polyarny Airport,Beaufort County Airport,4226
MO1760,2020-11-11 00:37:26,2020-11-10 04:37:26,Akhiok Airport,Macanal Airport,5038
WK1761,2020-07-08 15:00:19,2020-07-07 17:00:19,Detroit Metropolitan Wayne County Airport,Jyvaskyla Airport,8060
HW1762,2020-08-14 02:21:43,2020-08-13 14:21:43,Kangerlussuaq Airport,Gods Lake Narrows Airport,13756
5F1763,2023-06-27 23:48:50,2023-06-27 00:48:50,Northeast Ohio Regional Airport,Sary-Arka Airport,12553
2W1764,2021-05-12 18:09:16,2021-05-12 17:09:16,Igloolik Airport,Granite Mountain Air Station,7145
G81765,2023-01-13 22:00:15,2023-01-12 22:00:15,Mendeleyevo Airport,Excursion Inlet Seaplane Base,19067
ZL1766,2022-10-23 21:33:41,2022-10-23 02:33:41,Blaise Diagne International Airport,Stavanger Airport Sola,20116
CQ1767,2023-06-05 13:14:15,2023-06-04 19:14:15,Yotvata Airfield,Rotterdam The Hague Airport,13233
FO1768,2023-03-23 08:26:37,2023-03-22 12:26:37,Nakhon Si Thammarat Airport,Rocky Mountain Metropolitan Airport,8170
BQ1769,2022-01-10 04:25:03,2022-01-10 03:25:03,Seychelles International Airport,Taiping (Tekah) Airport,10730
GX1770,2022-12-21 22:09:58,2022-12-21 20:09:58,Angoram Airport,Bartlett Cove Seaplane Base,21644
7I1771,2022-11-30 15:04:40,2022-11-30 13:04:40,Centenário do Sul Airport,Presidente Castro Pinto International Airport,20846
KF1772,2022-08-26 11:43:30,2022-08-25 13:43:30,Tela Airport,María Dolores Airport,21292
G41773,2022-03-04 18:29:02,2022-03-04 04:29:02,Sarandi Airport,Humaitá Airport,13657
5Q1774,2020-08-19 06:11:42,2020-08-18 09:11:42,Downtown-Manhattan/Wall St Heliport,Van Nuys Airport,13467
E21775,2022-04-07 09:18:17,2022-04-06 21:18:17,Teniente Col Carmelo Peralta Airport,Maiana Airport,25095
CN1776,2020-05-27 18:34:34,2020-05-27 15:34:34,Miley Memorial Field,Craig Moffat Airport,2585
OH1777,2022-10-22 10:29:43,2022-10-21 16:29:43,East Texas Regional Airport,Benson Municipal Airport,24905
DN1778,2022-05-17 11:55:53,2022-05-16 21:55:53,Roboré Airport,Minvoul Airport,6560
T91779,2022-03-01 18:41:41,2022-03-01 15:41:41,Piracicaba Airport,Tajima Airport,12749
OR1780,2021-11-24 23:46:55,2021-11-24 23:46:55,Casino Airport,New Amsterdam Airport,22038
LY1781,2023-03-29 18:23:15,2023-03-29 09:23:15,Lusikisiki Airport,Přerov Air Base,5952
0G1782,2022-09-02 21:44:56,2022-09-02 12:44:56,Sochi International Airport,Lagoa Santa Airport,5118
2R1783,2020-10-01 21:27:52,2020-10-01 18:27:52,Forest City Municipal Airport,Margaret River (Station) Airport,1873
LH1784,2022-01-19 11:20:09,2022-01-19 01:20:09,Chichester/Goodwood Airport,Adolfo Suárez Madrid–Barajas Airport,27900
VN1785,2021-03-20 22:55:02,2021-03-20 13:55:02,Goya Airport,Liping Airport,13695
OS1786,2021-02-17 05:35:11,2021-02-17 00:35:11,Wuzhou Changzhoudao Airport,Reese Airpark,8392
WP1787,2023-02-14 15:52:07,2023-02-13 22:52:07,Palmdale Regional/USAF Plant 42 Airport,Meixian Airport,13735
OX1788,2023-02-02 04:16:58,2023-02-02 01:16:58,Sila Airport,Kurumoch International Airport,8955
OW1789,2021-08-17 18:02:07,2021-08-16 21:02:07,Batesville Regional Airport,Normanton Airport,12154
GN1790,2022-12-31 19:14:56,2022-12-30 21:14:56,Sparti Airport,Borba Airport,19883
7N1791,2022-09-10 01:44:16,2022-09-09 03:44:16,Ouanda Djallé Airport,Waterford Airport,25684
1R1792,2021-06-26 04:59:08,2021-06-25 22:59:08,Pescara International Airport,Sadah Airport,8926
ZP1793,2020-02-08 09:54:32,2020-02-07 17:54:32,Monte Alegre Airport,Volta Redonda Airport,26235
RA1794,2023-04-25 05:23:36,2023-04-24 17:23:36,Tommy Kochon Airport,Pingtung North Airport,25446
DS1795,2023-08-15 14:46:37,2023-08-14 22:46:37,Tum Airport,Bellona/Anua Airport,10623
1E1796,2020-04-21 21:10:37,2020-04-21 06:10:37,Pucón Airport,Kibuli Airstrip,22107
MV1797,2023-05-01 08:16:59,2023-04-30 17:16:59,Akiachak Airport,Kumejima Airport,19098
EG1798,2022-07-30 12:43:10,2022-07-29 19:43:10,Nanded Airport,Hazyview Airport,7397
A31799,2023-05-31 02:25:29,2023-05-30 15:25:29,Heglig Airport,Santa Rosalia Airport,8143
EJ1800,2021-10-07 07:57:06,2021-10-06 22:57:06,Cherif Al Idrissi Airport,Sócrates Rezende Airport,20214
6H1801,2022-01-17 12:12:34,2022-01-16 12:12:34,San Rafael Airport,Chan Gurney Municipal Airport,22161
YK1802,2021-04-05 05:53:31,2021-04-04 11:53:31,Paramillo Airport,Durham Tees Valley Airport,22014
DW1803,2021-04-16 15:08:26,2021-04-16 14:08:26,Dunedin Airport,C J.H.L.(Joe) Lecomte) Heliport,10117
KN1804,2020-12-14 03:42:49,2020-12-13 17:42:49,Thorne Bay Seaplane Base,Manas International Airport,14207
V91805,2022-08-24 04:25:30,2022-08-23 20:25:30,Mount Pleasant Airport,Paris Issy-les-Moulineaux Heliport,4763
PS1806,2022-11-12 03:39:14,2022-11-11 06:39:14,Holingol Huolinhe Airport,Bremerton National Airport,10639
Z71807,2022-07-05 12:04:35,2022-07-04 12:04:35,Angelina County Airport,Potchefstroom Airport,19053
WG1808,2021-03-11 14:38:58,2021-03-11 11:38:58,Currais Novos Airport,Arthur's Town Airport,25104
SS1809,2020-07-13 18:13:27,2020-07-13 03:13:27,Chubu Centrair International Airport,Grenoble-Isère Airport,16592
IE1810,2022-08-29 15:04:17,2022-08-28 22:04:17,Syamsudin Noor Airport,Matsu Beigan Airport,11127
NR1811,2022-11-12 10:58:01,2022-11-11 20:58:01,Negarbo(Negabo) Airport,Garfield County Regional Airport,4881
IJ1812,2021-02-06 19:19:19,2021-02-05 19:19:19,Sirri Island Airport,Parachinar Airport,13052
OZ1813,2020-12-11 10:30:25,2020-12-11 08:30:25,Kamberatoro Airport,St George Municipal Airport,451
CC1814,2020-07-23 02:55:32,2020-07-22 02:55:32,Sharurah Airport,Ocean Reef Club Airport,6622
S91815,2021-04-21 20:51:01,2021-04-21 05:51:01,Belbek Airport,Birmingham International Airport,4079
9V1816,2020-10-16 22:18:33,2020-10-16 14:18:33,Vila Real Airport,Urrao Airport,11718
LW1817,2020-12-26 01:27:38,2020-12-25 15:27:38,Islay Airport,Banjul International Airport,17880
6N1818,2023-03-24 17:07:16,2023-03-24 13:07:16,Kassel-Calden Airport,Barrie-Orillia (Lake Simcoe Regional Airport),1837
WG1819,2022-08-04 07:41:42,2022-08-04 02:41:42,Kololo Airstrip,Buffalo Range Airport,16978
CW1820,2021-08-27 06:48:32,2021-08-26 22:48:32,Chulman Airport,El Tajín National Airport,6878
HJ1821,2021-10-05 23:59:53,2021-10-05 13:59:53,Erave Airport,Selaparang Airport,8560
GY1822,2021-09-26 22:30:39,2021-09-26 20:30:39,Muccan Station Airport,Cassilândia Airport,10670
LB1823,2023-08-30 09:40:20,2023-08-30 01:40:20,Salem Municipal Airport/McNary Field,Bouaké Airport,8354
QL1824,2023-09-11 04:59:40,2023-09-10 04:59:40,Celle Airport,Dysart Airport,2036
T41825,2022-12-03 01:10:11,2022-12-02 16:10:11,Elista Airport,Ocean Reef Club Airport,20451
4U1826,2020-01-29 21:06:37,2020-01-29 00:06:37,Ronneby Airport,Jose Maria Velasco Ibarra Airport,7027
41827,2023-04-20 19:14:11,2023-04-19 22:14:11,Sibi Airport,Simferopol International Airport,9739
..1828,2020-09-19 15:04:20,2020-09-19 13:04:20,Liboi Airport,Provincetown Municipal Airport,16862
MC1829,2020-05-06 23:54:37,2020-05-06 10:54:37,Tawa Airport,Bria Airport,18423
CS1830,2023-01-24 06:21:21,2023-01-24 04:21:21,Swansea Airport,Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,21322
MQ1831,2023-07-08 16:38:19,2023-07-08 16:38:19,Forest City Municipal Airport,Olympic Dam Airport,25501
WP1832,2022-12-18 04:11:18,2022-12-17 08:11:18,Marsa Alam International Airport,Port Alsworth Airport,18979
2F1833,2020-08-31 14:39:40,2020-08-31 00:39:40,Usinsk Airport,Mc Allen Miller International Airport,17814
SH1834,2021-10-31 07:18:49,2021-10-30 17:18:49,Crane Island Airstrip,Raiatea Airport,27201
A21835,2022-08-22 19:40:42,2022-08-22 11:40:42,Leopoldina Airport,Philip S. W. Goldson International Airport,5659
1A1836,2020-09-14 08:45:40,2020-09-13 16:45:40,Sana'a International Airport,Cat Bi International Airport,18576
111837,2021-06-29 12:37:44,2021-06-29 07:37:44,Mainoru Airstrip,Rock Sound Airport,12728
LZ1838,2021-07-11 11:57:33,2021-07-11 06:57:33,Ammaroo Airport,Abresso Airport,25951
5C1839,2020-06-26 16:36:35,2020-06-25 22:36:35,Khatanga Airport,Barra Airport,19729
W41840,2022-01-24 08:30:26,2022-01-23 22:30:26,April Point Seaplane Base,Kasese Airport,13856
SD1841,2023-09-01 05:37:09,2023-08-31 17:37:09,Lac La Biche Airport,Childress Municipal Airport,6087
LJ1842,2023-02-10 19:44:19,2023-02-10 14:44:19,Murod Kond Airport,Mys Kamenny Airport,8040
OH1843,2021-10-10 00:11:22,2021-10-09 01:11:22,Gasuke Airport,Satna Airport,27479
Q91844,2020-04-03 01:31:41,2020-04-02 09:31:41,Asmara International Airport,Pagadian Airport,15873
IJ1845,2022-07-28 14:41:44,2022-07-27 15:41:44,Chingozi Airport,Sibu Airport,901
IS1846,2021-03-28 11:40:52,2021-03-27 15:40:52,Lublin Airport,Altay Air Base,4207
CA1847,2023-01-17 14:57:53,2023-01-16 21:57:53,Casa De Campo International Airport,San Cristóbal Airport,18008
SM1848,2021-09-26 16:52:49,2021-09-25 17:52:49,New Laura Airport,Wuhu Air Base,21621
AI1849,2023-08-17 13:19:39,2023-08-16 14:19:39,Lawson Army Air Field (Fort Benning),Ignatyevo Airport,12610
B61850,2021-03-02 19:12:46,2021-03-02 10:12:46,Dori Airport,Bora Bora Airport,27963
Q21851,2021-06-28 04:52:43,2021-06-27 18:52:43,Dirico Airport,Lages Airport,10048
IJ1852,2020-03-06 21:25:12,2020-03-06 05:25:12,Goroka Airport,Zalingei Airport,3361
HW1853,2020-07-26 22:21:35,2020-07-26 20:21:35,Manang Airport,Dabo Airport,4104
VG1854,2020-06-23 14:19:13,2020-06-22 15:19:13,Vryheid Airport,Vryburg Airport,6804
S01855,2022-01-08 05:18:01,2022-01-07 15:18:01,Touggourt Sidi Madhi Airport,Córdoba Airport,15724
7T1856,2022-11-21 22:30:04,2022-11-21 16:30:04,Gafsa Ksar International Airport,Sir Abubakar Tafawa Balewa International Airport,27639
JR1857,2022-07-20 01:05:54,2022-07-19 14:05:54,Muskoka Airport,Sanga Sanga Airport,25683
NV1858,2021-09-28 02:57:07,2021-09-27 19:57:07,Eastmain River Airport,Chandler Field,25161
UL1859,2023-06-20 07:48:38,2023-06-19 16:48:38,Beni Mellal Airport,Los Chiles Airport,11470
OI1860,2023-03-03 06:23:32,2023-03-02 16:23:32,City of Derry Airport,Waukon Municipal Airport,264
BF1861,2020-05-28 05:28:45,2020-05-27 17:28:45,Salina Cruz Naval Air Station,Sonari Airport,11331
VF1862,2021-07-05 15:03:17,2021-07-05 05:03:17,Greenbrier Airport,Bella Bella (Campbell Island) Airport,7867
8D1863,2023-05-22 01:41:27,2023-05-21 03:41:27,Warangal Airport,Terapo Airport,18790
WD1864,2021-04-09 10:58:09,2021-04-09 08:58:09,Big Mountain Airport,Zhigansk Airport,24435
RX1865,2021-12-03 12:41:29,2021-12-03 07:41:29,Garoua International Airport,Afore Airstrip,12656
TK1866,2022-05-24 22:48:20,2022-05-24 03:48:20,Bongor Airport,Bowman Regional Airport,18989
WQ1867,2022-04-05 22:49:32,2022-04-05 02:49:32,Salem Airport,Dirranbandi Airport,22765
PF1868,2022-06-22 10:32:05,2022-06-22 06:32:05,Bitburg Airport,General Santos International Airport,18062
T61869,2023-09-17 13:29:47,2023-09-17 02:29:47,Barcelonnette - Saint-Pons Airport,Smyrna Airport,21747
ML1870,2021-12-03 00:49:08,2021-12-02 22:49:08,Griswold Airport,Irecê Airport,18340
H31871,2020-05-11 11:42:20,2020-05-10 15:42:20,Capitán Av. German Quiroga G. Airport,Chapleau Airport,27345
9V1872,2023-05-05 09:44:33,2023-05-04 11:44:33,Alberto Alcolumbre Airport,Donnelly Airport,6772
RB1873,2020-12-13 01:01:08,2020-12-12 08:01:08,Conklin (Leismer) Airport,El Mirador Airport,20493
DV1874,2021-02-16 02:50:50,2021-02-16 02:50:50,Desierto de Atacama Airport,Seal Bay Seaplane Base,24520
IE1875,2021-03-15 07:11:14,2021-03-14 19:11:14,Upala Airport,"Pine Bluff Regional Airport, Grider Field",16889
3U1876,2020-04-29 12:45:38,2020-04-28 13:45:38,Tres Esquinas Air Base,Fagurhólsmýri Airport,5125
JH1877,2022-03-19 03:32:46,2022-03-18 03:32:46,Dr. Luis Maria Argaña International Airport,Capitan Oriel Lea Plaza Airport,8871
IV1878,2022-09-29 16:28:50,2022-09-29 08:28:50,Sharana Airstrip,Barksdale Air Force Base,23800
DH1879,2023-05-15 11:16:28,2023-05-14 14:16:28,Abresso Airport,Obando Airport,7402
W21880,2021-07-28 14:27:24,2021-07-28 08:27:24,Watsonville Municipal Airport,Fort Severn Airport,21527
HM1881,2021-01-02 12:27:52,2021-01-01 23:27:52,Kajaani Airport,Rosecrans Memorial Airport,18201
1I1882,2022-05-24 10:02:28,2022-05-23 15:02:28,Puerto Barrios Airport,Matsapha Airport,21028
DH1883,2023-07-10 01:41:21,2023-07-10 00:41:21,Front Royal Warren County Airport,Thornhill Air Base,13064
TJ1884,2021-05-08 07:51:06,2021-05-08 03:51:06,Kuressaare Airport,Waca Airport,13340
201885,2022-05-15 15:50:44,2022-05-15 08:50:44,Lyon-Bron Airport,Delingha Airport,23106
3M1886,2020-03-21 00:13:55,2020-03-20 13:13:55,St. Mary's Airport,Bhatinda Air Force Station,12165
O71887,2021-07-29 01:27:37,2021-07-28 03:27:37,Christmas Creek Station Airport,Munda Airport,11593
V51888,2022-07-08 23:13:47,2022-07-08 11:13:47,Samangoky Airport,Macomb Municipal Airport,20071
HQ1889,2023-06-02 06:09:58,2023-06-01 21:09:58,Cape Romanzof LRRS Airport,Tromsø Airport,15395
NO1890,2023-02-22 18:15:01,2023-02-21 18:15:01,Cottbus-Drewitz Airport,Shubuling Airport,5173
6B1891,2021-11-27 23:19:58,2021-11-26 23:19:58,Jurien Bay Airport,Mesquite Airport,27588
PT1892,2023-04-16 17:24:41,2023-04-16 07:24:41,Piedras Negras International Airport,Léopold Sédar Senghor International Airport,14746
YP1893,2021-06-11 23:30:33,2021-06-11 07:30:33,Shillong Airport,Darwaz Airport,17844
8V1894,2020-04-10 04:50:32,2020-04-09 18:50:32,Immokalee Regional Airport,Sibisa Airport,7975
YC1895,2021-10-01 11:45:08,2021-09-30 21:45:08,Falcon State Airport,Hopedale Airport,10328
1U1896,2022-09-26 11:49:12,2022-09-25 13:49:12,Hangzhou Xiaoshan International Airport,Cram Field,1608
OD1897,2023-03-03 01:55:43,2023-03-02 10:55:43,Kasese Airport,Quilpie Airport,13007
NN1898,2020-11-03 11:20:32,2020-11-03 01:20:32,El Dorado International Airport,Lafayette Regional Airport,8316
BS1899,2021-11-29 13:52:07,2021-11-29 03:52:07,Teniente Vidal Airport,Hubli Airport,17143
QY1900,2021-02-10 00:09:16,2021-02-09 12:09:16,Førde Airport,Wagga Wagga City Airport,5598
IO1901,2022-02-10 06:43:57,2022-02-09 14:43:57,Roy Otten Memorial Airfield,Maxson Airfield,22578
EL1902,2021-07-13 14:46:44,2021-07-13 12:46:44,Chaoyang Airport,Imane Airport,5995
4Z1903,2021-01-14 04:50:31,2021-01-13 13:50:31,Pouso Alegre Airport,Baoshan Yunduan Airport,2714
1K1904,2023-02-20 17:22:06,2023-02-20 03:22:06,Springbok Airport,Gander International Airport,2107
8V1905,2022-11-13 12:45:17,2022-11-13 02:45:17,Bursa Yenişehir Airport,Buta Zega Airport,23083
EH1906,2021-02-11 15:10:49,2021-02-10 21:10:49,Palm Beach International Airport,Elcho Island Airport,2242
Q31907,2020-03-29 19:41:06,2020-03-29 10:41:06,Prince Rupert Airport,Perryville Airport,14430
O11908,2022-12-31 19:22:30,2022-12-30 22:22:30,Tauranga Airport,Pevek Airport,19712
YT1909,2021-05-18 03:39:09,2021-05-18 01:39:09,Yecheon Airbase,Ames Municipal Airport,22348
BN1910,2023-11-24 03:31:40,2023-11-23 05:31:40,Southwest Bay Airport,Stockholm Skavsta Airport,13836
4L1911,2021-12-24 04:49:20,2021-12-23 13:49:20,Anápolis Airport,Fria Airport,4149
Z51912,2022-04-20 05:10:06,2022-04-19 18:10:06,El Maiten Airport,Darchula Airport,13969
HP1913,2021-11-05 08:32:30,2021-11-04 20:32:30,Gaziantep International Airport,Tortolì Airport,8126
